"Figure 1. Change in Growing Degree Days in the Contiguous 48 States, 1948–2023",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2024",,
37.1942,-99.7633,4.594569978
37.2733,-99.3289,8.567821564
38.8586,-99.3358,9.700247768
39.6678,-95.52,2.313004077
37.2364,-95.7003,0.215315567
37.9411,-101.2492,9.759200345
37.0308,-100.9069,-8.283404846
38.3772,-97.6097,-2.437250126
38.6133,-95.2808,-5.211598603
38.4747,-100.9175,0.140581323
37.1322,-96.18,0.6385776
39.0147,-99.8722,11.44985831
38.1228,-83.5328,3.059257811
31.3206,-92.4611,4.715802798
30.0719,-91.0278,-2.726630238
30.2003,-92.6642,-2.041585662
44.6894,-70.1564,7.44131938
39.0303,-76.9314,24.39582209
38.7153,-76.1908,10.04213809
42.3861,-72.5375,6.379241246
42.2122,-71.1136,20.64160838
45.7858,-88.0842,21.18288735
46.4656,-90.1892,-8.069721898
43.6064,-93.3019,3.209499056
46.7053,-92.5239,20.89917899
43.7047,-92.5644,-0.5182459
47.2436,-93.4975,19.8871087
47.2256,-95.1919,7.009458016
45.1219,-95.9269,29.0389271
45.59,-95.8744,7.392508279
44.0139,-96.3258,12.82559437
43.7639,-94.1661,18.00385435
34.3725,-89.5308,8.002614344
38.1894,-94.0244,-5.665429374
40.2394,-94.6833,-3.503711608
37.5983,-94.2842,6.352881599
37.3908,-93.9492,-6.988973775
37.1542,-92.2619,-7.619303973
36.865,-94.3603,-0.625353072
38.9664,-93.4194,-2.028162597
45.6622,-111.0464,18.54383299
47.8206,-112.1922,-0.538232485
45.2089,-112.6389,13.88565155
46.8217,-108.3725,14.38714525
48.3042,-114.2642,16.33660177
45.4875,-111.6336,16.04681739
46.4178,-104.5164,10.31316962
40.3706,-95.7469,1.517119744
40.1306,-99.8278,-3.074874825
40.6092,-96.8719,1.648519684
40.0739,-97.1669,1.140330595
41.4514,-97.7644,3.600189407
40.9394,-100.1514,-1.66329904
42.6858,-103.8842,3.974380223
40.4517,-99.3803,-10.91039598
40.5092,-101.6514,-2.655850784
40.5156,-98.9514,-6.758440602
42.0644,-97.9667,-6.687210037
40.0978,-98.5197,-3.85398002
40.3544,-96.1939,0.522851082
35.4661,-114.9217,9.705529953
43.1419,-70.95,17.79377506
45.09,-71.2906,36.18588116
40.2664,-74.5642,8.034669005
35.2006,-103.6867,12.25058686
43.0297,-78.1683,27.27200479
40.9519,-72.2978,11.7597938
42.5647,-77.7175,4.679218439
43.7928,-75.4828,3.810694732
41.7719,-74.1536,26.70547044
43.45,-76.5369,22.83184713
35.3297,-82.4492,14.28932726
35.9147,-81.5375,4.554892347
34.9797,-80.5233,4.588888646
34.7336,-76.7358,1.980676067
35.7297,-81.6728,-1.868039009
35.5175,-78.3444,-6.753756171
35.81,-80.8808,-6.677012607
36.4003,-81.3053,1.013775995
35.4867,-82.9681,2.66246047
48.8217,-100.4528,14.6306103
48.9158,-103.2981,16.31393544
46.1583,-98.3989,-1.829386185
46.8844,-98.685,3.655914552
48.6061,-100.2911,8.535890581
40.8125,-82.9697,11.0893803
41.2783,-84.3847,12.08591249
41.0461,-83.6622,19.52844057
41.2633,-82.6147,14.26594956
38.7569,-82.8872,-4.772175789
41.2019,-80.8106,-8.046506823
41.5183,-84.1453,8.017462973
42.2131,-122.7147,14.95486899
44.0569,-121.285,55.6377876
44.6342,-123.19,29.0001382
42.8978,-122.1339,22.83750346
45.5247,-123.1025,15.85093438
45.4486,-122.1547,23.01977086
42.7331,-122.5164,31.05513484
42.9508,-123.3572,38.02202496
41.4197,-78.7492,10.95496902
40.7933,-77.8672,11.38510919
41.8467,-79.1494,4.358543314
41.4903,-71.5431,35.27704406
34.5283,-82.6608,5.080595841
34.0906,-82.5883,4.977413559
34.6603,-82.8233,7.332584817
34.1994,-81.4144,-6.710091115
34.635,-81.5206,5.251949379
34.7544,-83.075,1.497513318
34.9378,-81.0375,9.100273655
43.4894,-99.0628,-6.072534435
43.6514,-97.7981,-0.071111183
45.7656,-99.6222,4.876663466
45.0325,-99.1225,1.641243698
44.0683,-98.0833,7.607468668
43.4378,-103.4739,3.706594203
43.9025,-99.8581,10.72175955
43.2358,-97.5714,10.0002918
43.8878,-100.7075,4.806937174
35.6214,-88.8456,8.541933618
35.4139,-86.8086,0.277719017
35.6722,-85.7811,9.872859829
35.9203,-86.3728,-6.229673908
35.9833,-83.2008,4.523773529
36.4161,-82.9839,1.948178289
31.7414,-99.9764,8.14825477
28.4575,-97.7061,5.106320569
29.7986,-98.7353,8.726228906
30.1592,-96.3972,1.691691902
33.6608,-101.2778,9.298064729
29.0567,-96.2319,-4.23206897
29.6756,-97.6578,4.015300974
34.1892,-101.7022,12.57653525
32.7483,-97.77,-0.005278169
37.6133,-109.4847,40.26134877
37.2825,-109.5575,18.37912206
39.2875,-112.6514,25.60309513
37.0286,-112.5361,13.12054005
41.8253,-111.3206,26.67052756
39.2583,-111.6308,12.31796513
40.08,-111.6047,13.4252236
40.5353,-112.3217,24.49031914
41.5147,-111.1594,44.33552609
37.2092,-112.9814,6.856804143
37.0908,-81.3364,-0.085539881
37.2861,-78.4053,1.160005002
37.7767,-79.4386,-3.237441944
38.2253,-78.1189,5.436904415
48.9672,-122.3292,47.04024599
47.9753,-122.195,55.09337559
47.9558,-124.3539,42.81552289
47.1356,-122.2561,28.58556252
47.3331,-118.6961,1.525360192
47.1175,-118.3714,5.186353013
47.4289,-120.31,22.63009859
38.9803,-80.22,7.173329819
38.9339,-80.8317,5.827109067
43.7953,-88.4533,-1.544830771
44.1186,-89.5358,2.389200812
42.8278,-90.7889,-7.459421094
44.6411,-90.1333,18.98061614
45.1308,-90.3439,9.584998878
45.8864,-89.7322,-6.951314066
44.5378,-90.535,0.974537095
43.5306,-89.4369,1.185522697
43.0514,-91.135,-7.866198529
45.8236,-91.8761,12.6004829
43.1742,-88.7364,-5.525574423
44.3797,-108.035,13.04082639
32.1314,-81.2022,11.15927451
36.7664,-96.0131,-3.069999756
42.1997,-75.9847,12.48343705
26.585,-81.8614,12.94043115
29.5442,-98.4839,11.94499639
27.7839,-97.5114,7.774046062
39.3778,-74.4236,18.32623209
39.4039,-77.975,10.31309594
36.9036,-76.1928,17.07128812
32.775,-79.9239,10.0270615
34.7439,-87.5997,10.83279969
30.4761,-87.1858,8.952839666
30.5378,-91.1469,7.482704659
30.1986,-91.9894,10.62266421
42.9489,-78.7367,14.49775524
42.7472,-73.7992,19.74124227
40.6497,-75.4478,13.64423133
44.4683,-73.15,38.06387584
43.6425,-70.3045,31.74351029
41.7225,-71.4325,24.02504436
43.1172,-77.6753,11.41128428
43.1111,-76.1039,16.21299704
41.2431,-76.9217,17.53531417
42.0803,-80.1822,29.01205444
44.8853,-93.2314,20.08249818
45.4558,-98.4133,10.24797691
44.9044,-97.1494,13.23550381
31.8122,-106.3775,19.67337754
36.4483,-103.1536,21.54722094
34.7678,-114.6183,17.97854768
39.5078,-119.7683,108.005391
41.1519,-104.8061,22.08858619
41.3164,-105.6728,17.62889577
44.3819,-100.2864,2.987128454
41.5947,-109.0528,19.64642101
46.4264,-105.8833,5.461214637
40.8239,-115.7864,33.86660394
40.9017,-117.8081,21.91846286
44.8431,-117.81,14.27585166
48.6036,-112.3767,21.78081326
47.4733,-111.3828,-6.58744342
46.6044,-111.9892,47.90672699
46.3744,-117.0153,26.14288823
47.6217,-117.5281,23.76138015
40.8097,-124.1603,38.49758174
43.4133,-124.2436,15.58558987
36.78,-119.7203,29.48074173
30.3975,-84.3289,9.505990911
36.9647,-86.4239,12.1909577
34.9892,-99.0528,8.668768772
48.2064,-106.6247,11.63918895
40.7789,-73.9692,8.066363467
46.8997,-95.0669,12.00104009
