latitude,longitude,change_class_key,change_class_label,measure,unit,value,flag
39.4408,-90.3789,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-8.322156873,
39.1661,-85.9228,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.388835406,
41.5575,-85.8825,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.01797393,
39.7858,-85.7611,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.305062652,
40.58,-85.6586,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.892723538,
38.8878,-86.5519,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.797112965,
41.0664,-86.2097,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.042862141,
39.6042,-85.4533,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.256619747,
38.5528,-86.7944,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.026513555,
39.9961,-86.3542,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.23707114,
41.0267,-86.5867,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,2.758069848,
41.8814,-92.2764,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-2.38368436,
43.0603,-92.6717,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.675505278,
40.7244,-95.0192,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.275045837,
41.0211,-91.9553,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.128372221,
42.8825,-91.8303,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.595029843,
42.5836,-94.2006,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.101697186,
42.7817,-96.1458,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.843760277,
42.3969,-94.6292,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-5.031301054,
42.6469,-95.1933,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.823076,
42.0356,-92.5806,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.617300494,
41.2825,-91.7078,neg_20_to_neg_10,-10 to -20,percent_change_in_growing_degree_days,percent change,-10.19619711,
37.1942,-99.7633,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.594569978,
37.2733,-99.3289,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.567821564,
38.8586,-99.3358,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.700247768,
39.6678,-95.52,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,2.313004077,
37.2364,-95.7003,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.215315567,
37.9411,-101.2492,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.759200345,
37.0308,-100.9069,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-8.283404846,
38.3772,-97.6097,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-2.437250126,
38.6133,-95.2808,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-5.211598603,
38.4747,-100.9175,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.140581323,
37.1322,-96.18,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.6385776,
39.0147,-99.8722,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.44985831,
38.1228,-83.5328,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.059257811,
31.3206,-92.4611,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.715802798,
30.0719,-91.0278,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-2.726630238,
30.2003,-92.6642,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-2.041585662,
44.6894,-70.1564,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.44131938,
39.0303,-76.9314,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,24.39582209,
38.7153,-76.1908,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.04213809,
42.3861,-72.5375,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,6.379241246,
42.2122,-71.1136,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,20.64160838,
45.7858,-88.0842,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,21.18288735,
46.4656,-90.1892,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-8.069721898,
43.6064,-93.3019,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.209499056,
46.7053,-92.5239,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,20.89917899,
43.7047,-92.5644,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.5182459,
47.2436,-93.4975,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,19.8871087,
47.2256,-95.1919,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.009458016,
45.1219,-95.9269,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,29.0389271,
45.59,-95.8744,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.392508279,
44.0139,-96.3258,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.82559437,
43.7639,-94.1661,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,18.00385435,
34.3725,-89.5308,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.002614344,
38.1894,-94.0244,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-5.665429374,
40.2394,-94.6833,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-3.503711608,
37.5983,-94.2842,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,6.352881599,
37.3908,-93.9492,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.988973775,
37.1542,-92.2619,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.619303973,
36.865,-94.3603,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.625353072,
38.9664,-93.4194,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-2.028162597,
45.6622,-111.0464,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,18.54383299,
47.8206,-112.1922,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.538232485,
45.2089,-112.6389,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.88565155,
46.8217,-108.3725,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.38714525,
48.3042,-114.2642,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,16.33660177,
45.4875,-111.6336,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,16.04681739,
46.4178,-104.5164,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.31316962,
40.3706,-95.7469,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.517119744,
40.1306,-99.8278,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-3.074874825,
40.6092,-96.8719,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.648519684,
40.0739,-97.1669,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.140330595,
41.4514,-97.7644,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.600189407,
40.9394,-100.1514,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.66329904,
42.6858,-103.8842,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.974380223,
40.4517,-99.3803,neg_20_to_neg_10,-10 to -20,percent_change_in_growing_degree_days,percent change,-10.91039598,
40.5092,-101.6514,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-2.655850784,
40.5156,-98.9514,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.758440602,
42.0644,-97.9667,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.687210037,
40.0978,-98.5197,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-3.85398002,
40.3544,-96.1939,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.522851082,
35.4661,-114.9217,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.705529953,
43.1419,-70.95,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.79377506,
45.09,-71.2906,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,36.18588116,
40.2664,-74.5642,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.034669005,
35.2006,-103.6867,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.25058686,
43.0297,-78.1683,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,27.27200479,
40.9519,-72.2978,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.7597938,
42.5647,-77.7175,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.679218439,
43.7928,-75.4828,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.810694732,
41.7719,-74.1536,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,26.70547044,
43.45,-76.5369,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,22.83184713,
35.3297,-82.4492,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.28932726,
35.9147,-81.5375,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.554892347,
34.9797,-80.5233,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.588888646,
34.7336,-76.7358,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.980676067,
35.7297,-81.6728,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.868039009,
35.5175,-78.3444,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.753756171,
35.81,-80.8808,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.677012607,
36.4003,-81.3053,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.013775995,
35.4867,-82.9681,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,2.66246047,
48.8217,-100.4528,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.6306103,
48.9158,-103.2981,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,16.31393544,
46.1583,-98.3989,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.829386185,
46.8844,-98.685,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.655914552,
48.6061,-100.2911,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.535890581,
40.8125,-82.9697,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.0893803,
41.2783,-84.3847,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.08591249,
41.0461,-83.6622,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,19.52844057,
41.2633,-82.6147,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.26594956,
38.7569,-82.8872,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-4.772175789,
41.2019,-80.8106,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-8.046506823,
41.5183,-84.1453,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.017462973,
42.2131,-122.7147,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.95486899,
44.0569,-121.285,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,55.6377876,
44.6342,-123.19,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,29.0001382,
42.8978,-122.1339,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,22.83750346,
45.5247,-123.1025,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,15.85093438,
45.4486,-122.1547,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,23.01977086,
42.7331,-122.5164,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,31.05513484,
42.9508,-123.3572,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,38.02202496,
41.4197,-78.7492,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.95496902,
40.7933,-77.8672,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.38510919,
41.8467,-79.1494,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.358543314,
41.4903,-71.5431,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,35.27704406,
34.5283,-82.6608,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.080595841,
34.0906,-82.5883,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.977413559,
34.6603,-82.8233,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.332584817,
34.1994,-81.4144,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.710091115,
34.635,-81.5206,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.251949379,
34.7544,-83.075,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.497513318,
34.9378,-81.0375,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.100273655,
43.4894,-99.0628,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.072534435,
43.6514,-97.7981,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.071111183,
45.7656,-99.6222,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.876663466,
45.0325,-99.1225,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.641243698,
44.0683,-98.0833,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.607468668,
43.4378,-103.4739,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,3.706594203,
43.9025,-99.8581,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.72175955,
43.2358,-97.5714,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.0002918,
43.8878,-100.7075,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.806937174,
35.6214,-88.8456,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.541933618,
35.4139,-86.8086,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.277719017,
35.6722,-85.7811,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.872859829,
35.9203,-86.3728,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.229673908,
35.9833,-83.2008,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.523773529,
36.4161,-82.9839,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.948178289,
31.7414,-99.9764,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.14825477,
28.4575,-97.7061,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.106320569,
29.7986,-98.7353,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.726228906,
30.1592,-96.3972,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.691691902,
33.6608,-101.2778,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.298064729,
29.0567,-96.2319,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-4.23206897,
29.6756,-97.6578,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,4.015300974,
34.1892,-101.7022,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.57653525,
32.7483,-97.77,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.005278169,
37.6133,-109.4847,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,40.26134877,
37.2825,-109.5575,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,18.37912206,
39.2875,-112.6514,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,25.60309513,
37.0286,-112.5361,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.12054005,
41.8253,-111.3206,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,26.67052756,
39.2583,-111.6308,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.31796513,
40.08,-111.6047,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.4252236,
40.5353,-112.3217,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,24.49031914,
41.5147,-111.1594,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,44.33552609,
37.2092,-112.9814,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,6.856804143,
37.0908,-81.3364,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,-0.085539881,
37.2861,-78.4053,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.160005002,
37.7767,-79.4386,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-3.237441944,
38.2253,-78.1189,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.436904415,
48.9672,-122.3292,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,47.04024599,
47.9753,-122.195,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,55.09337559,
47.9558,-124.3539,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,42.81552289,
47.1356,-122.2561,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,28.58556252,
47.3331,-118.6961,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.525360192,
47.1175,-118.3714,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.186353013,
47.4289,-120.31,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,22.63009859,
38.9803,-80.22,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.173329819,
38.9339,-80.8317,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.827109067,
43.7953,-88.4533,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-1.544830771,
44.1186,-89.5358,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,2.389200812,
42.8278,-90.7889,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.459421094,
44.6411,-90.1333,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,18.98061614,
45.1308,-90.3439,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,9.584998878,
45.8864,-89.7322,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-6.951314066,
44.5378,-90.535,neg_1_to_1,-1 to 1,percent_change_in_growing_degree_days,percent change,0.974537095,
43.5306,-89.4369,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,1.185522697,
43.0514,-91.135,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-7.866198529,
45.8236,-91.8761,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.6004829,
43.1742,-88.7364,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-5.525574423,
44.3797,-108.035,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.04082639,
32.1314,-81.2022,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.15927451,
36.7664,-96.0131,neg_10_to_neg_1,-1 to -10,percent_change_in_growing_degree_days,percent change,-3.069999756,
42.1997,-75.9847,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.48343705,
26.585,-81.8614,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,12.94043115,
29.5442,-98.4839,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.94499639,
27.7839,-97.5114,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.774046062,
39.3778,-74.4236,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,18.32623209,
39.4039,-77.975,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.31309594,
36.9036,-76.1928,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.07128812,
32.775,-79.9239,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.0270615,
34.7439,-87.5997,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.83279969,
30.4761,-87.1858,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,8.952839666,
30.5378,-91.1469,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,7.482704659,
30.1986,-91.9894,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.62266421,
42.9489,-78.7367,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.49775524,
42.7472,-73.7992,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,19.74124227,
40.6497,-75.4478,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.64423133,
44.4683,-73.15,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,38.06387584,
43.6425,-70.3045,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,31.74351029,
41.7225,-71.4325,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,24.02504436,
43.1172,-77.6753,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,11.41128428,
43.1111,-76.1039,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,16.21299704,
41.2431,-76.9217,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.53531417,
42.0803,-80.1822,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,29.01205444,
44.8853,-93.2314,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,20.08249818,
45.4558,-98.4133,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,10.24797691,
44.9044,-97.1494,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,13.23550381,
31.8122,-106.3775,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,19.67337754,
36.4483,-103.1536,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,21.54722094,
34.7678,-114.6183,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.97854768,
39.5078,-119.7683,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,108.005391,
41.1519,-104.8061,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,22.08858619,
41.3164,-105.6728,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,17.62889577,
44.3819,-100.2864,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,2.987128454,
41.5947,-109.0528,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,19.64642101,
46.4264,-105.8833,pos_1_to_10,1 to 10,percent_change_in_growing_degree_days,percent change,5.461214637,
40.8239,-115.7864,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,33.86660394,
40.9017,-117.8081,gt_pos_20,>20,percent_change_in_growing_degree_days,percent change,21.91846286,
44.8431,-117.81,pos_10_to_20,10 to 20,percent_change_in_growing_degree_days,percent change,14.27585166,
